東京 とうきょう Tokyo
品川 しながわ Shinagawa
新横浜 しんよこはま Shin-Yokohama
小田原 おだわら Odawara
熱海 あたみ Atami
三島 みしま Mishima
新富士 しんふじ Shin-Fuji
静岡 しずおか Shizuoka
掛川 かけがわ Kakegawa
浜松 はままつ Hamamatsu
豊橋 とよはし Toyohashi
三河安城 みかわあんじょう Mikawa-Anjo
名古屋 なごや Nagoya
岐阜羽島 ぎふはしま Gifu-Hashima
米原 まいばら Maibara
京都 きょうと Kyoto
新大阪 しんおおさか Shin-Osaka
